"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:10 GMT 2024","2384","e2e tests","example.spec.ts","Accessibility Tests","","","Check accessibility of login page [Allure Step]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:16 GMT 2024","8044","e2e tests","example.spec.ts","Product Interaction Tests","","","Flaky test for adding product to cart [Allure Flaky]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:12 GMT 2024","4295","e2e tests","example.spec.ts","Navigation Tests","","","Logout from application [Allure Step]",""
"failed","Wed Jul 31 21:25:14 GMT 2024","Wed Jul 31 21:25:16 GMT 2024","1686","e2e tests","example.spec.ts","Performance Tests","","","Measure inventory page performance [Allure Step]",""
"passed","Wed Jul 31 21:25:17 GMT 2024","Wed Jul 31 21:25:20 GMT 2024","3124","e2e tests","example.spec.ts","Browser Context Tests","","","Create new browser context [Allure Browser Context]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:11 GMT 2024","3799","e2e tests","example.spec.ts","Cart Management Tests","","","Complete a purchase [Allure Step]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:11 GMT 2024","3048","e2e tests","example.spec.ts","Product Interaction Tests","","","Remove a product from the cart [Allure Step]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:11 GMT 2024","2914","e2e tests","example.spec.ts","Cart Management Tests","","","Proceed to checkout [Allure Step]",""
"passed","Wed Jul 31 21:25:17 GMT 2024","Wed Jul 31 21:25:19 GMT 2024","2362","e2e tests","example.spec.ts","Geolocation Tests","","","Set geolocation to London [Allure Geolocation]",""
"failed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:11 GMT 2024","3022","e2e tests","example.spec.ts","Accessibility Tests","","","Check accessibility of inventory page [Allure Step]",""
"failed","Wed Jul 31 21:25:16 GMT 2024","Wed Jul 31 21:25:17 GMT 2024","1679","e2e tests","example.spec.ts","Visual Regression Tests","","","Flaky test for visual regression [Allure Flaky]",""
"passed","Wed Jul 31 21:25:20 GMT 2024","Wed Jul 31 21:25:22 GMT 2024","1630","e2e tests","example.spec.ts","API Testing","","","Fetch API data [Allure API Testing]",""
"passed","Wed Jul 31 21:25:14 GMT 2024","Wed Jul 31 21:25:17 GMT 2024","2171","e2e tests","example.spec.ts","Screenshot Tests","","","Take screenshot of login page [Allure Screenshot]",""
"failed","Wed Jul 31 21:25:17 GMT 2024","Wed Jul 31 21:25:19 GMT 2024","1966","e2e tests","example.spec.ts","Visual Regression Tests","","","Compare inventory page screenshot [Allure Visual Regression]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:11 GMT 2024","3172","e2e tests","example.spec.ts","Product Interaction Tests","","","Add a product to the cart [Allure Step]",""
"passed","Wed Jul 31 21:25:17 GMT 2024","Wed Jul 31 21:25:26 GMT 2024","8804","e2e tests","example.spec.ts","Browser Context Tests","","","Flaky test for browser context [Allure Flaky]",""
"failed","Wed Jul 31 21:25:16 GMT 2024","Wed Jul 31 21:25:17 GMT 2024","1536","e2e tests","example.spec.ts","Visual Regression Tests","","","Compare login page screenshot [Allure Visual Regression]",""
"passed","Wed Jul 31 21:25:21 GMT 2024","Wed Jul 31 21:25:23 GMT 2024","2124","e2e tests","example.spec.ts","Custom Annotation Tests","","","Test with custom allure annotation [Allure Custom Annotation]",""
"passed","Wed Jul 31 21:25:07 GMT 2024","Wed Jul 31 21:25:10 GMT 2024","2852","e2e tests","example.spec.ts","Login Tests","","","Successful login with valid credentials [Allure Step]",""
"failed","Wed Jul 31 21:25:20 GMT 2024","Wed Jul 31 21:25:22 GMT 2024","1568","e2e tests","example.spec.ts","API Testing","","","Post API data [Allure API Testing]",""
"passed","Wed Jul 31 21:25:20 GMT 2024","Wed Jul 31 21:25:23 GMT 2024","3016","e2e tests","example.spec.ts","Network Interception Tests","","","Modify network response [Allure Network Interception]",""
"failed","Wed Jul 31 21:25:20 GMT 2024","Wed Jul 31 21:25:22 GMT 2024","1669","e2e tests","example.spec.ts","API Testing","","","Flaky test for API testing [Allure Flaky]",""
"failed","Wed Jul 31 21:25:15 GMT 2024","Wed Jul 31 21:25:17 GMT 2024","2105","e2e tests","example.spec.ts","Accessibility Tests","","","Flaky test for accessibility [Allure Flaky]",""
"passed","Wed Jul 31 21:25:16 GMT 2024","Wed Jul 31 21:25:19 GMT 2024","3242","e2e tests","example.spec.ts","Screenshot Tests","","","Take screenshot of inventory page [Allure Screenshot]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:17 GMT 2024","9083","e2e tests","example.spec.ts","Navigation Tests","","","Navigate to about page [Allure Step]",""
"failed","Wed Jul 31 21:25:07 GMT 2024","Wed Jul 31 21:25:12 GMT 2024","4193","e2e tests","example.spec.ts","Product Interaction Tests","","","View product details [Allure Step]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:22 GMT 2024","13798","e2e tests","example.spec.ts","Navigation Tests","","","Flaky test for navigation [Allure Flaky]",""
"passed","Wed Jul 31 21:25:19 GMT 2024","Wed Jul 31 21:25:26 GMT 2024","6979","e2e tests","example.spec.ts","Network Interception Tests","","","Flaky test for network interception [Allure Flaky]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:17 GMT 2024","8768","e2e tests","example.spec.ts","Cart Management Tests","","","Flaky test for checkout process [Allure Flaky]",""
"passed","Wed Jul 31 21:25:18 GMT 2024","Wed Jul 31 21:25:20 GMT 2024","2548","e2e tests","example.spec.ts","Browser Context Tests","","","Reuse existing browser context [Allure Browser Context]",""
"passed","Wed Jul 31 21:25:15 GMT 2024","Wed Jul 31 21:25:22 GMT 2024","6958","e2e tests","example.spec.ts","Screenshot Tests","","","Flaky test for screenshots [Allure Flaky]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:10 GMT 2024","2665","e2e tests","example.spec.ts","Login Tests","","","Unsuccessful login with invalid credentials [Allure Step]",""
"failed","Wed Jul 31 21:25:18 GMT 2024","Wed Jul 31 21:25:20 GMT 2024","2014","e2e tests","example.spec.ts","Network Interception Tests","","","Intercept network requests [Allure Network Interception]",""
"passed","Wed Jul 31 21:25:22 GMT 2024","Wed Jul 31 21:25:25 GMT 2024","2316","e2e tests","example.spec.ts","Custom Annotation Tests","","","Test with custom allure parameter [Allure Custom Parameter]",""
"passed","Wed Jul 31 21:25:22 GMT 2024","Wed Jul 31 21:25:29 GMT 2024","7012","e2e tests","example.spec.ts","Custom Annotation Tests","","","Flaky test with custom annotation [Allure Flaky]",""
"failed","Wed Jul 31 21:25:14 GMT 2024","Wed Jul 31 21:25:16 GMT 2024","1602","e2e tests","example.spec.ts","Performance Tests","","","Flaky test for performance [Allure Flaky]",""
"passed","Wed Jul 31 21:25:08 GMT 2024","Wed Jul 31 21:25:12 GMT 2024","4271","e2e tests","example.spec.ts","Cart Management Tests","","","Continue shopping from cart [Allure Step]",""
"passed","Wed Jul 31 21:25:17 GMT 2024","Wed Jul 31 21:25:25 GMT 2024","7265","e2e tests","example.spec.ts","Geolocation Tests","","","Flaky test for geolocation [Allure Flaky]",""
"passed","Wed Jul 31 21:25:17 GMT 2024","Wed Jul 31 21:25:19 GMT 2024","2225","e2e tests","example.spec.ts","Geolocation Tests","","","Set geolocation to New York [Allure Geolocation]",""
"failed","Wed Jul 31 21:25:14 GMT 2024","Wed Jul 31 21:25:16 GMT 2024","1445","e2e tests","example.spec.ts","Performance Tests","","","Measure login page performance [Allure Step]",""
